,d,a,n,tol,integral,loss,time,rank
0,1.0,10.0,71.0,0.001,0.9999999999999999,1.1102230246251565e-16,0.0020363330841064453,1.0
1,1.0,15.0,51.0,0.001,0.9999999999999999,1.1102230246251565e-16,0.00189208984375,1.0
2,1.0,10.0,71.0,1e-05,0.9999999999999999,1.1102230246251565e-16,0.0020401477813720703,1.0
3,1.0,15.0,51.0,1e-07,0.9999999999999999,1.1102230246251565e-16,0.0021431446075439453,1.0
4,1.0,10.0,71.0,1e-07,0.9999999999999999,1.1102230246251565e-16,0.0023043155670166016,1.0
5,1.0,15.0,51.0,1e-05,0.9999999999999999,1.1102230246251565e-16,0.0019092559814453125,1.0
6,1.0,10.0,51.0,1e-05,1.0000000000000002,2.220446049250313e-16,0.0019152164459228516,1.0
7,1.0,10.0,51.0,1e-07,1.0000000000000002,2.220446049250313e-16,0.0019135475158691406,1.0
8,1.0,10.0,51.0,0.001,1.0000000000000002,2.220446049250313e-16,0.0019588470458984375,1.0
9,1.0,15.0,71.0,1e-05,1.0000000000000007,6.661338147750939e-16,0.001998424530029297,1.0
10,1.0,15.0,71.0,0.001,1.0000000000000007,6.661338147750939e-16,0.0019762516021728516,1.0
11,1.0,15.0,71.0,1e-07,1.0000000000000007,6.661338147750939e-16,0.0020508766174316406,1.0
12,2.0,15.0,51.0,1e-07,0.9999999999999473,5.2735593669694936e-14,0.05080223083496094,26.0
13,2.0,15.0,71.0,1e-07,0.9999999999998082,1.9184653865522705e-13,0.34885311126708984,32.0
14,2.0,10.0,51.0,1e-07,0.9999999999985314,1.468603016974157e-12,0.08027100563049316,32.0
15,1.0,30.0,71.0,1e-05,1.0000000000042937,4.2936765254353304e-12,0.0020279884338378906,1.0
16,1.0,30.0,71.0,1e-07,1.0000000000042937,4.2936765254353304e-12,0.002132892608642578,1.0
17,1.0,30.0,71.0,0.001,1.0000000000042937,4.2936765254353304e-12,0.002236604690551758,1.0
18,2.0,30.0,71.0,0.001,1.0000000000051068,5.106803868670795e-12,0.03559231758117676,18.0
19,2.0,30.0,71.0,1e-05,1.0000000000051523,5.1523230126804265e-12,0.04196882247924805,19.0
20,2.0,30.0,71.0,1e-07,1.0000000000085862,8.586242827846036e-12,0.07280826568603516,22.0
21,2.0,10.0,71.0,1e-07,0.999999999895892,1.041080555097551e-10,0.41901206970214844,32.0
22,2.0,15.0,71.0,1e-05,0.9999999996205071,3.794928815636922e-10,0.09174823760986328,26.0
23,2.0,10.0,51.0,1e-05,0.9999999992027063,7.972936755251681e-10,0.0723564624786377,27.0
