,d,nswp,rmax,accuracy,minimum,tt_min
0,5.0,15.0,7.0,1.0,-4.232275334070778,-4.232275334070778
1,5.0,15.0,10.0,1.0,-4.232275334070778,-4.232275334070778
2,5.0,1.0,10.0,1.0,-4.232275334070778,-4.232275334070778
3,5.0,7.0,1.0,1.0,-4.232275334070778,-4.232275334070778
4,5.0,7.0,3.0,1.0,-4.232275334070778,-4.232275334070778
5,5.0,7.0,5.0,1.0,-4.232275334070778,-4.232275334070778
6,5.0,7.0,7.0,1.0,-4.232275334070778,-4.232275334070778
7,5.0,7.0,10.0,1.0,-4.232275334070778,-4.232275334070778
8,5.0,15.0,1.0,1.0,-4.232275334070778,-4.232275334070778
9,5.0,15.0,3.0,1.0,-4.232275334070778,-4.232275334070778
10,5.0,15.0,5.0,1.0,-4.232275334070778,-4.232275334070778
11,5.0,20.0,1.0,1.0,-4.232275334070778,-4.232275334070778
12,5.0,1.0,3.0,1.0,-4.232275334070778,-4.232275334070778
13,5.0,20.0,3.0,1.0,-4.232275334070778,-4.232275334070778
14,5.0,20.0,5.0,1.0,-4.232275334070778,-4.232275334070778
15,5.0,20.0,7.0,1.0,-4.232275334070778,-4.232275334070778
16,5.0,20.0,10.0,1.0,-4.232275334070778,-4.232275334070778
17,5.0,30.0,1.0,1.0,-4.232275334070778,-4.232275334070778
18,5.0,30.0,3.0,1.0,-4.232275334070778,-4.232275334070778
19,5.0,30.0,5.0,1.0,-4.232275334070778,-4.232275334070778
20,5.0,30.0,7.0,1.0,-4.232275334070778,-4.232275334070778
21,5.0,30.0,10.0,1.0,-4.232275334070778,-4.232275334070778
22,5.0,1.0,7.0,1.0,-4.232275334070778,-4.232275334070778
23,5.0,1.0,5.0,1.0,-4.232275334070778,-4.232275334070778
24,2.0,30.0,10.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
25,2.0,15.0,7.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
26,2.0,1.0,5.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
27,2.0,1.0,7.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
28,2.0,1.0,10.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
29,2.0,7.0,1.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
30,2.0,7.0,3.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
31,2.0,7.0,5.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
32,2.0,7.0,7.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
33,2.0,7.0,10.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
34,2.0,15.0,1.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
35,2.0,15.0,3.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
36,2.0,15.0,5.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
37,2.0,15.0,10.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
38,2.0,20.0,10.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
39,2.0,30.0,7.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
40,2.0,1.0,3.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
41,2.0,30.0,5.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
42,2.0,30.0,1.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
43,2.0,30.0,3.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
44,2.0,20.0,7.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
45,2.0,20.0,5.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
46,2.0,20.0,3.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
47,2.0,20.0,1.0,0.9999999999999998,-1.8713992411366382,-1.8713992411366387
48,15.0,15.0,10.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
49,15.0,15.0,7.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
50,15.0,20.0,7.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
51,15.0,20.0,10.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
52,15.0,30.0,5.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
53,15.0,30.0,7.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
54,15.0,30.0,10.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
55,15.0,7.0,10.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
56,15.0,7.0,7.0,0.9999999999999997,-11.320691619842814,-11.320691619842817
57,20.0,20.0,3.0,0.9999999999999996,-25.82078522385259,-25.820785223852578
